ID,X,Y
4647,151013.7813,-473015.3125
4646,147170.8281,-470218.2813
4649,158185.6719,-474563.25
4648,155621.7188,-471616.7813
4627,157656.7188,-463448.5
4626,157303.7344,-459423.375
4629,156943.8125,-467941.8125
4628,157440.9375,-466249.8438
4623,161761.9375,-462186.75
4622,162817.6563,-463089.625
4625,161255.3125,-460915.9375
4624,162676.1406,-460881.9688
4635,156891.4844,-461006.0625
4634,157794.6563,-461270.0625
4637,156956.8906,-464520.8125
4636,157549.4063,-462382.8125
4631,159104.5469,-462717.6563
4630,158332.7031,-468061.7188
4633,160012.6719,-465751.7813
4632,159409.7969,-464599.3125
4675,155591.8438,-462681.8125
4674,151910.2656,-462143.9063
4677,153189.0332,-466387.5317
4676,165599.3438,-460029.375
4671,155274.375,-459287.25
4670,159746.75,-460052.6875
4673,152752.9531,-462102.0625
4672,154049.875,-459914.6563
4705,178358.25,-460429.875
4704,177853.25,-458745.5
4707,181412.9531,-458884.0625
4706,179941.0313,-460041.875
4701,171778.6406,-458341.375
4700,164903.6094,-462812.25
4703,179956.4219,-458782.9688
4702,174450.5938,-458554.5625
4659,150003.7344,-465855.375
4658,151683.1563,-463482.6563
4661,155089.7969,-464970.8438
4660,155807,-463895.0313
4655,149639.1563,-462968.6875
4654,148826.3438,-469901.5
4657,153619.5625,-463333.25
4656,149782.5938,-464235.7188
4667,153978.1563,-467827.625
4666,155759.1875,-467295.7188
4669,155167.5,-461773.3438
4668,153757.0313,-461498.4375
4663,153786.9063,-465437
4662,155830.9063,-466040.625
4665,151438.1094,-464683.9688
4664,152741,-464576.375
4729,167059.4688,-465744.4688
4728,167168.8281,-464869.5313
4731,165428.3906,-466124.8125
4730,165391.5469,-464697.1875
4725,167191.625,-462069.875
4724,168852.375,-461981.875
4727,168766.1406,-463669.3438
4726,167300.4219,-463589.4688
4737,169868.5469,-466539.2813
4736,168193.3906,-465061.1875
4739,168958.8865,-465344.7856
4738,172276.5781,-465516.9375
4733,167011.9063,-467289.9063
4732,165352.8281,-467909.3125
4735,168336.9531,-467271.5625
